iter	Passed	Remaining
0	64	64345
1	128	64360
2	199	66209
3	271	67628
4	338	67325
5	416	69058
6	491	69687
7	555	68872
8	622	68509
9	684	67726
10	747	67200
11	804	66258
12	891	67660
13	965	67967
14	1051	69054
15	1131	69574
16	1203	69588
17	1297	70773
18	1372	70880
19	1468	71960
20	1552	72386
21	1615	71805
22	1662	70600
23	1732	70468
24	1781	69494
25	1842	69022
26	1897	68369
27	1966	68277
28	2042	68390
29	2147	69442
30	2245	70187
31	2336	70692
32	2403	70418
33	2469	70159
34	2527	69674
35	2578	69042
36	2657	69179
37	2722	68928
38	2802	69051
39	2883	69211
40	2972	69520
41	3041	69370
42	3098	68961
43	3145	68334
44	3210	68126
45	3284	68122
46	3368	68303
47	3462	68665
48	3530	68519
49	3587	68162
50	3653	67981
51	3708	67604
52	3762	67221
53	3817	66869
54	3878	66638
55	3926	66186
56	3976	65785
57	4020	65293
58	4080	65075
59	4154	65083
60	4239	65255
61	4300	65057
62	4384	65204
63	4476	65472
64	4564	65656
65	4655	65882
66	4740	66012
67	4814	65991
68	4906	66203
69	4991	66322
70	5056	66161
71	5129	66115
72	5198	66014
73	5253	65736
74	5295	65305
75	5353	65086
76	5418	64957
77	5477	64746
78	5542	64618
79	5634	64793
80	5697	64636
81	5768	64581
82	5858	64726
83	5927	64633
84	5993	64518
85	6049	64293
86	6122	64247
87	6199	64250
88	6270	64180
89	6363	64340
90	6430	64232
91	6502	64174
92	6561	63993
93	6628	63883
94	6685	63691
95	6744	63510
96	6797	63276
97	6843	62988
98	6889	62698
99	6944	62501
100	6988	62200
101	7041	61995
102	7105	61877
103	7158	61676
104	7201	61388
105	7259	61222
106	7312	61029
107	7361	60804
108	7419	60652
109	7461	60371
110	7515	60193
111	7560	59942
112	7618	59799
113	7665	59579
114	7726	59461
115	7787	59344
116	7844	59205
117	7903	59076
118	7967	58984
119	8030	58892
120	8080	58701
121	8127	58490
122	8167	58236
123	8225	58107
124	8279	57955
125	8334	57811
126	8395	57711
127	8449	57562
128	8501	57402
129	8563	57307
130	8655	57418
131	8716	57314
132	8776	57214
133	8832	57083
134	8887	56946
135	8947	56844
136	9001	56704
137	9060	56593
138	9105	56404
139	9162	56285
140	9206	56085
141	9257	55936
142	9313	55815
143	9369	55697
144	9428	55592
145	9473	55414
146	9521	55247
147	9567	55080
148	9619	54942
149	9669	54793
150	9714	54621
151	9760	54450
152	9799	54249
153	9846	54091
154	9905	54002
155	9964	53910
156	10027	53842
157	10071	53673
158	10123	53546
159	10174	53414
160	10234	53334
161	10294	53252
162	10358	53188
163	10416	53100
164	10462	52946
165	10507	52792
166	10558	52665
167	10616	52577
168	10672	52476
169	10727	52374
170	10783	52279
171	10844	52207
172	10884	52032
173	10929	51884
174	10973	51732
175	11019	51592
176	11066	51454
177	11111	51312
178	11159	51185
179	11202	51033
180	11245	50885
181	11305	50813
182	11348	50667
183	11391	50519
184	11435	50379
185	11488	50279
186	11532	50138
187	11579	50012
188	11622	49871
189	11666	49734
190	11715	49620
191	11763	49505
192	11809	49381
193	11855	49256
194	11903	49140
195	11954	49036
196	12000	48915
197	12041	48773
198	12088	48657
199	12145	48582
200	12203	48508
201	12267	48462
202	12313	48343
203	12373	48279
204	12414	48142
205	12471	48070
206	12534	48020
207	12583	47914
208	12627	47789
209	12670	47665
210	12712	47538
211	12752	47399
212	12793	47268
213	12848	47192
214	12905	47118
215	12963	47052
216	13015	46964
217	13063	46859
218	13105	46735
219	13148	46615
220	13205	46547
221	13260	46472
222	13305	46361
223	13353	46260
224	13396	46145
225	13449	46060
226	13492	45944
227	13535	45829
228	13575	45705
229	13618	45591
230	13678	45534
231	13728	45446
232	13769	45327
233	13825	45259
234	13872	45159
235	13919	45062
236	13967	44967
237	14022	44896
238	14076	44821
239	14134	44758
240	14185	44674
241	14229	44571
242	14277	44479
243	14323	44378
244	14375	44298
245	14426	44217
246	14472	44120
247	14515	44016
248	14558	43910
249	14604	43813
250	14651	43719
251	14691	43607
252	14732	43497
253	14775	43396
254	14821	43301
255	14868	43210
256	14912	43114
257	14958	43019
258	15004	42926
259	15051	42839
260	15096	42744
261	15140	42647
262	15186	42556
263	15227	42452
264	15274	42364
265	15322	42280
266	15367	42189
267	15414	42101
268	15456	42002
269	15515	41948
270	15558	41852
271	15601	41756
272	15644	41662
273	15689	41571
274	15736	41488
275	15795	41435
276	15842	41350
277	15887	41261
278	15937	41187
279	15997	41137
280	16039	41040
281	16086	40958
282	16128	40863
283	16187	40811
284	16241	40745
285	16286	40660
286	16330	40570
287	16392	40525
288	16434	40431
289	16482	40354
290	16532	40279
291	16585	40213
292	16627	40122
293	16671	40034
294	16711	39938
295	16756	39852
296	16797	39758
297	16836	39661
298	16873	39558
299	16919	39477
300	16963	39394
301	17007	39307
302	17050	39221
303	17089	39125
304	17132	39039
305	17170	38941
306	17217	38866
307	17261	38782
308	17300	38688
309	17352	38622
310	17394	38536
311	17439	38455
312	17485	38377
313	17528	38295
314	17567	38202
315	17615	38129
316	17658	38047
317	17707	37976
318	17748	37889
319	17786	37797
320	17828	37712
321	17873	37633
322	17919	37559
323	17964	37482
324	18017	37421
325	18062	37344
326	18108	37268
327	18152	37190
328	18197	37113
329	18243	37040
330	18289	36964
331	18335	36891
332	18382	36820
333	18426	36742
334	18466	36656
335	18507	36573
336	18548	36492
337	18593	36417
338	18641	36348
339	18679	36260
340	18721	36181
341	18762	36098
342	18814	36037
343	18859	35965
344	18900	35883
345	18946	35812
346	18994	35745
347	19036	35666
348	19075	35582
349	19124	35517
350	19167	35441
351	19216	35375
352	19260	35302
353	19312	35242
354	19355	35166
355	19405	35104
356	19454	35039
357	19496	34963
358	19538	34886
359	19594	34834
360	19637	34759
361	19682	34688
362	19727	34617
363	19772	34546
364	19815	34473
365	19856	34396
366	19900	34323
367	19946	34255
368	19989	34182
369	20036	34116
370	20082	34048
371	20127	33979
372	20172	33909
373	20219	33843
374	20266	33776
375	20311	33708
376	20354	33636
377	20404	33575
378	20460	33525
379	20503	33452
380	20546	33380
381	20604	33333
382	20648	33263
383	20689	33188
384	20729	33114
385	20770	33039
386	20827	32989
387	20872	32923
388	20911	32845
389	20954	32775
390	20996	32702
391	21035	32626
392	21082	32563
393	21129	32499
394	21172	32428
395	21212	32354
396	21265	32299
397	21307	32229
398	21357	32170
399	21396	32095
400	21439	32024
401	21484	31960
402	21527	31890
403	21580	31836
404	21637	31788
405	21678	31716
406	21722	31650
407	21771	31590
408	21819	31528
409	21874	31478
410	21927	31423
411	21970	31355
412	22019	31296
413	22058	31223
414	22105	31161
415	22148	31093
416	22193	31029
417	22239	30964
418	22283	30898
419	22324	30829
420	22368	30763
421	22410	30695
422	22455	30630
423	22522	30596
424	22580	30549
425	22624	30485
426	22671	30423
427	22723	30368
428	22765	30300
429	22804	30228
430	22846	30161
431	22886	30091
432	22936	30034
433	22978	29967
434	23031	29913
435	23074	29849
436	23122	29789
437	23166	29724
438	23206	29656
439	23253	29595
440	23305	29541
441	23365	29497
442	23407	29431
443	23443	29357
444	23489	29295
445	23533	29231
446	23584	29177
447	23630	29116
448	23680	29059
449	23718	28989
450	23772	28938
451	23820	28879
452	23861	28813
453	23904	28748
454	23946	28683
455	24006	28638
456	24048	28573
457	24092	28510
458	24136	28449
459	24182	28388
460	24226	28325
461	24269	28261
462	24316	28203
463	24361	28141
464	24407	28081
465	24453	28021
466	24497	27960
467	24545	27902
468	24586	27837
469	24629	27773
470	24671	27709
471	24708	27640
472	24756	27582
473	24797	27517
474	24840	27455
475	24879	27388
476	24922	27326
477	24965	27264
478	25005	27198
479	25047	27135
480	25090	27072
481	25133	27011
482	25180	26952
483	25231	26899
484	25277	26841
485	25318	26777
486	25372	26726
487	25419	26670
488	25463	26609
489	25506	26547
490	25550	26487
491	25605	26437
492	25651	26379
493	25696	26320
494	25734	26254
495	25780	26195
496	25824	26136
497	25877	26085
498	25924	26028
499	25973	25973
500	26027	25923
501	26077	25869
502	26125	25813
503	26173	25757
504	26218	25699
505	26261	25638
506	26307	25581
507	26358	25527
508	26404	25470
509	26449	25411
510	26498	25357
511	26539	25295
512	26582	25235
513	26625	25175
514	26664	25110
515	26702	25046
516	26740	24981
517	26788	24926
518	26836	24871
519	26877	24810
520	26917	24747
521	26960	24687
522	27003	24628
523	27048	24571
524	27092	24512
525	27136	24453
526	27182	24397
527	27222	24334
528	27267	24277
529	27320	24227
530	27369	24173
531	27421	24122
532	27471	24069
533	27515	24011
534	27572	23964
535	27626	23915
536	27674	23861
537	27722	23806
538	27768	23750
539	27814	23693
540	27857	23634
541	27903	23579
542	27947	23520
543	27992	23464
544	28047	23415
545	28098	23364
546	28156	23317
